Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
"42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008807",,,,,"42","101",,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000101","Census Tract 1.01",,,,1350,30,0,29,0,0,0,13,76,7,31,168,264,229,143,125,235
"42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008808",,,,,"42","101",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000102","Census Tract 1.02",,,,1840,23,82,0,17,14,0,0,29,52,52,276,386,134,95,374,306
"42101000200","Census Tract 2, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008809",,,,,"42","101",,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000200","Census Tract 2",,,,1628,138,84,26,12,59,27,32,147,0,82,86,269,93,12,36,525
"42101000300","Census Tract 3, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008810",,,,,"42","101",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000300","Census Tract 3",,,,2085,107,70,23,24,42,50,36,14,21,78,227,533,197,78,253,332
"42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008811",,,,,"42","101",,,"000401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000401","Census Tract 4.01",,,,1849,186,206,119,40,41,37,16,0,84,103,123,407,106,95,95,191
"42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008812",,,,,"42","101",,,"000403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000403","Census Tract 4.03",,,,694,16,26,0,0,24,0,4,0,43,11,0,134,0,55,117,264
"42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008813",,,,,"42","101",,,"000404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000404","Census Tract 4.04",,,,2323,97,77,111,30,46,16,136,69,45,132,244,325,164,143,459,229
"42101000500","Census Tract 5, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008814",,,,,"42","101",,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000500","Census Tract 5",,,,1144,141,73,34,10,26,40,56,45,62,139,114,117,50,82,104,51
"42101000600","Census Tract 6, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008815",,,,,"42","101",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000600","Census Tract 6",,,,1008,113,17,0,9,25,83,0,18,0,54,100,105,44,186,92,162
"42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008816",,,,,"42","101",,,"000701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000701","Census Tract 7.01",,,,1279,276,35,75,0,0,20,18,19,11,76,37,229,70,102,86,225
"42101000702","Census Tract 7.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008817",,,,,"42","101",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000702","Census Tract 7.02",,,,1511,101,22,13,18,23,63,60,52,16,432,80,54,87,60,187,243
"42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008818",,,,,"42","101",,,"000801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000801","Census Tract 8.01",,,,952,51,9,25,13,15,124,21,40,10,8,70,53,21,66,52,374
"42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008819",,,,,"42","101",,,"000803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000803","Census Tract 8.03",,,,1883,63,13,89,36,119,12,46,26,69,167,196,308,49,64,173,453
"42101000805","Census Tract 8.05, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008820",,,,,"42","101",,,"000805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000805","Census Tract 8.05",,,,1847,77,36,0,25,32,31,24,99,0,134,376,175,66,86,263,423
"42101000806","Census Tract 8.06, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008821",,,,,"42","101",,,"000806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000806","Census Tract 8.06",,,,1617,142,25,40,0,15,16,0,16,16,70,117,25,201,49,312,573
"42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008822",,,,,"42","101",,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000901","Census Tract 9.01",,,,1571,279,104,63,42,89,110,40,45,19,151,95,100,184,40,0,210
"42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008823",,,,,"42","101",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000902","Census Tract 9.02",,,,1433,142,161,60,54,61,14,10,0,21,45,181,92,55,108,72,357
"42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008824",,,,,"42","101",,,"001001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001001","Census Tract 10.01",,,,1659,74,27,57,19,122,18,9,20,0,51,201,139,159,116,282,365
"42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008825",,,,,"42","101",,,"001002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001002","Census Tract 10.02",,,,2046,17,0,30,50,19,0,37,63,45,49,208,213,113,71,299,832
"42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008826",,,,,"42","101",,,"001101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001101","Census Tract 11.01",,,,2404,75,217,37,69,146,240,301,49,83,186,210,181,139,115,143,213
"42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008827",,,,,"42","101",,,"001102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001102","Census Tract 11.02",,,,1459,53,29,0,0,9,56,24,25,15,123,196,134,44,75,189,487
"42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008828",,,,,"42","101",,,"001201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001201","Census Tract 12.01",,,,2083,123,111,13,15,13,25,0,64,25,79,179,232,218,107,254,625
"42101001203","Census Tract 12.03, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008829",,,,,"42","101",,,"001203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001203","Census Tract 12.03",,,,1225,35,0,0,43,0,11,79,90,14,90,105,227,97,28,126,280
"42101001204","Census Tract 12.04, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008830",,,,,"42","101",,,"001204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001204","Census Tract 12.04",,,,1732,133,93,33,38,23,21,0,25,44,127,282,218,156,87,144,308
"42101001301","Census Tract 13.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008831",,,,,"42","101",,,"001301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001301","Census Tract 13.01",,,,795,0,74,23,0,0,0,0,2,0,51,9,49,106,36,63,382
"42101001302","Census Tract 13.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008832",,,,,"42","101",,,"001302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001302","Census Tract 13.02",,,,2066,27,0,73,42,10,92,0,63,16,101,211,266,304,202,177,482
"42101001400","Census Tract 14, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008833",,,,,"42","101",,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001400","Census Tract 14",,,,2004,174,129,37,17,31,0,18,63,0,58,197,210,222,139,192,517
"42101001500","Census Tract 15, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008834",,,,,"42","101",,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001500","Census Tract 15",,,,1478,41,51,46,34,47,134,65,32,0,50,140,150,137,86,142,323
"42101001600","Census Tract 16, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008835",,,,,"42","101",,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001600","Census Tract 16",,,,1195,27,34,14,0,17,22,30,0,62,44,38,171,84,145,161,346
"42101001700","Census Tract 17, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008836",,,,,"42","101",,,"001700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001700","Census Tract 17",,,,1388,33,0,9,0,59,19,26,38,20,50,71,173,168,125,140,457
"42101001800","Census Tract 18, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008837",,,,,"42","101",,,"001800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001800","Census Tract 18",,,,1691,47,26,31,14,0,33,28,28,123,60,253,206,161,134,155,392
"42101001900","Census Tract 19, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008838",,,,,"42","101",,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001900","Census Tract 19",,,,1732,28,53,51,63,81,15,48,34,5,19,49,139,87,336,280,444
"42101002000","Census Tract 20, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008839",,,,,"42","101",,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002000","Census Tract 20",,,,1082,50,55,136,18,52,14,16,31,6,103,83,90,145,91,63,129
"42101002100","Census Tract 21, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008840",,,,,"42","101",,,"002100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002100","Census Tract 21",,,,948,66,24,48,5,24,16,13,26,27,97,71,120,87,48,124,152
"42101002200","Census Tract 22, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008841",,,,,"42","101",,,"002200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002200","Census Tract 22",,,,1157,89,31,27,49,78,61,104,71,13,30,166,138,67,85,70,78
"42101002300","Census Tract 23, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008842",,,,,"42","101",,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002300","Census Tract 23",,,,1234,44,58,31,63,16,42,0,49,45,58,102,205,94,142,92,193
"42101002400","Census Tract 24, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008843",,,,,"42","101",,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002400","Census Tract 24",,,,2583,191,101,144,82,119,57,45,65,18,41,271,248,303,216,308,374
"42101002500","Census Tract 25, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008844",,,,,"42","101",,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002500","Census Tract 25",,,,2023,219,165,143,53,140,23,5,31,103,56,131,230,95,148,162,319
"42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008845",,,,,"42","101",,,"002701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002701","Census Tract 27.01",,,,1877,120,26,79,17,90,46,25,51,36,164,167,379,133,128,192,224
"42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008846",,,,,"42","101",,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002702","Census Tract 27.02",,,,1933,86,57,50,51,27,82,45,65,175,142,129,192,293,115,240,184
"42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008847",,,,,"42","101",,,"002801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002801","Census Tract 28.01",,,,1651,74,120,50,77,33,32,67,58,55,111,352,175,180,94,82,91
"42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008848",,,,,"42","101",,,"002802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002802","Census Tract 28.02",,,,2338,72,37,45,112,212,72,73,134,38,211,247,160,175,194,205,351
"42101002900","Census Tract 29, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008849",,,,,"42","101",,,"002900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002900","Census Tract 29",,,,2229,121,71,93,50,143,91,15,19,183,166,148,229,201,225,240,234
"42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008850",,,,,"42","101",,,"003001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003001","Census Tract 30.01",,,,1544,171,88,131,79,16,33,80,110,89,64,82,248,143,79,91,40
"42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008851",,,,,"42","101",,,"003002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003002","Census Tract 30.02",,,,1493,130,35,110,62,68,95,8,84,57,53,131,155,124,109,196,76
"42101003100","Census Tract 31, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008852",,,,,"42","101",,,"003100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003100","Census Tract 31",,,,2296,301,122,68,87,64,36,85,96,148,88,406,235,75,131,226,128
"42101003200","Census Tract 32, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008853",,,,,"42","101",,,"003200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003200","Census Tract 32",,,,1632,174,72,135,20,157,108,48,72,73,115,176,187,141,66,80,8
"42101003300","Census Tract 33, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008854",,,,,"42","101",,,"003300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003300","Census Tract 33",,,,2444,107,135,267,137,97,136,40,133,32,249,199,204,103,143,192,270
"42101003600","Census Tract 36, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008855",,,,,"42","101",,,"003600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003600","Census Tract 36",,,,2567,491,279,130,189,154,25,177,176,70,144,226,314,133,31,23,5
"42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008856",,,,,"42","101",,,"003701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003701","Census Tract 37.01",,,,2315,126,60,170,16,235,121,253,12,19,111,276,377,244,155,119,21
"42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008857",,,,,"42","101",,,"003702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003702","Census Tract 37.02",,,,1277,89,85,108,107,58,101,47,45,93,102,84,105,144,59,5,45
"42101003800","Census Tract 38, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008858",,,,,"42","101",,,"003800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003800","Census Tract 38",,,,1647,56,16,61,23,50,24,38,56,64,150,174,265,264,75,248,83
"42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008859",,,,,"42","101",,,"003901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003901","Census Tract 39.01",,,,3036,174,125,128,223,113,12,149,171,39,462,372,354,283,168,170,93
"42101003902","Census Tract 39.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008860",,,,,"42","101",,,"003902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003902","Census Tract 39.02",,,,2352,44,129,66,106,12,93,27,51,30,290,534,254,89,195,224,208
"42101004001","Census Tract 40.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008861",,,,,"42","101",,,"004001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004001","Census Tract 40.01",,,,1929,362,17,145,11,87,15,66,61,33,84,178,296,174,184,157,59
"42101004002","Census Tract 40.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008862",,,,,"42","101",,,"004002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004002","Census Tract 40.02",,,,2269,66,77,46,101,179,0,125,133,0,278,244,386,301,174,33,126
"42101004101","Census Tract 41.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008863",,,,,"42","101",,,"004101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004101","Census Tract 41.01",,,,1964,174,110,101,50,85,63,176,73,42,81,154,395,84,0,283,93
"42101004103","Census Tract 41.03, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008864",,,,,"42","101",,,"004103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004103","Census Tract 41.03",,,,1351,226,14,46,126,29,54,130,97,84,117,133,179,13,26,77,0
"42101004104","Census Tract 41.04, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008865",,,,,"42","101",,,"004104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004104","Census Tract 41.04",,,,1352,10,163,82,118,108,15,61,0,50,91,218,182,201,24,18,11
"42101004201","Census Tract 42.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008866",,,,,"42","101",,,"004201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004201","Census Tract 42.01",,,,2176,148,72,141,16,155,66,57,0,120,86,199,535,140,89,134,218
"42101004202","Census Tract 42.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008867",,,,,"42","101",,,"004202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004202","Census Tract 42.02",,,,2024,63,43,87,143,126,76,144,102,7,91,471,126,250,143,73,79
"42101005400","Census Tract 54, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008868",,,,,"42","101",,,"005400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101005400","Census Tract 54",,,,738,31,37,10,30,63,74,23,0,60,28,122,111,73,60,7,9
"42101005500","Census Tract 55, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008869",,,,,"42","101",,,"005500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101005500","Census Tract 55",,,,2798,172,154,246,146,54,132,161,7,0,163,440,510,360,163,60,30
"42101005600","Census Tract 56, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008870",,,,,"42","101",,,"005600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101005600","Census Tract 56",,,,662,55,105,2,27,70,59,0,42,17,80,100,34,71,0,0,0
"42101006000","Census Tract 60, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008871",,,,,"42","101",,,"006000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006000","Census Tract 60",,,,2400,245,217,71,126,124,112,71,172,78,251,236,323,118,78,101,77
"42101006100","Census Tract 61, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008872",,,,,"42","101",,,"006100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006100","Census Tract 61",,,,1193,113,114,64,89,18,140,118,45,55,71,38,155,90,19,64,0
"42101006200","Census Tract 62, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008873",,,,,"42","101",,,"006200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006200","Census Tract 62",,,,1544,253,109,49,11,155,60,206,126,0,73,161,166,100,19,45,11
"42101006300","Census Tract 63, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008874",,,,,"42","101",,,"006300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006300","Census Tract 63",,,,1523,208,219,51,60,285,101,96,135,0,66,32,167,45,0,35,23
"42101006400","Census Tract 64, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008875",,,,,"42","101",,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006400","Census Tract 64",,,,1630,172,162,12,223,104,219,96,57,108,77,142,83,124,51,0,0
"42101006500","Census Tract 65, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008876",,,,,"42","101",,,"006500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006500","Census Tract 65",,,,1640,241,171,149,28,114,28,111,28,79,115,196,173,171,36,0,0
"42101006600","Census Tract 66, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008877",,,,,"42","101",,,"006600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006600","Census Tract 66",,,,1329,366,72,116,81,56,102,109,126,9,72,107,53,47,10,3,0
"42101006700","Census Tract 67, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008878",,,,,"42","101",,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006700","Census Tract 67",,,,2908,332,88,71,322,70,85,496,313,37,322,260,276,178,0,58,0
"42101007000","Census Tract 70, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008879",,,,,"42","101",,,"007000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007000","Census Tract 70",,,,1467,126,115,117,41,194,144,101,53,57,181,73,194,51,20,0,0
"42101007101","Census Tract 71.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008880",,,,,"42","101",,,"007101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007101","Census Tract 71.01",,,,809,215,32,44,32,28,63,29,65,70,58,59,70,33,10,0,1
"42101007102","Census Tract 71.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008881",,,,,"42","101",,,"007102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007102","Census Tract 71.02",,,,1719,230,230,191,85,136,87,67,118,45,94,108,135,111,0,82,0
"42101007200","Census Tract 72, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008882",,,,,"42","101",,,"007200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007200","Census Tract 72",,,,1618,191,152,104,79,137,57,159,29,130,90,184,80,97,24,60,45
"42101007300","Census Tract 73, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008883",,,,,"42","101",,,"007300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007300","Census Tract 73",,,,1309,183,83,100,0,141,100,20,20,42,158,50,195,103,82,11,21
"42101007400","Census Tract 74, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008884",,,,,"42","101",,,"007400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007400","Census Tract 74",,,,1792,277,241,102,71,96,12,76,35,91,179,177,175,158,37,65,0
"42101007700","Census Tract 77, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008885",,,,,"42","101",,,"007700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007700","Census Tract 77",,,,728,116,57,19,27,29,26,39,41,15,111,81,50,42,29,6,40
"42101007800","Census Tract 78, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008886",,,,,"42","101",,,"007800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007800","Census Tract 78",,,,2130,267,259,56,48,35,129,178,37,0,151,228,281,135,92,93,141
"42101007900","Census Tract 79, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008887",,,,,"42","101",,,"007900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007900","Census Tract 79",,,,2204,210,84,44,48,0,143,47,160,50,90,288,232,162,202,70,374
"42101008000","Census Tract 80, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008888",,,,,"42","101",,,"008000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008000","Census Tract 80",,,,1745,333,130,73,43,137,7,0,40,23,99,174,355,86,133,63,49
"42101008101","Census Tract 81.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008889",,,,,"42","101",,,"008101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008101","Census Tract 81.01",,,,1075,51,192,48,120,10,11,9,137,29,130,98,135,25,55,0,25
"42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008890",,,,,"42","101",,,"008102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008102","Census Tract 81.02",,,,2022,251,55,175,50,161,87,137,125,256,114,140,143,130,185,13,0
"42101008200","Census Tract 82, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008891",,,,,"42","101",,,"008200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008200","Census Tract 82",,,,2998,647,157,174,101,298,323,133,108,37,166,245,156,221,95,137,0
"42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008892",,,,,"42","101",,,"008301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008301","Census Tract 83.01",,,,1627,208,172,46,200,124,22,108,93,39,145,232,127,56,13,42,0
"42101008302","Census Tract 83.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008893",,,,,"42","101",,,"008302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008302","Census Tract 83.02",,,,1864,411,264,216,32,193,88,104,61,63,91,75,216,32,0,0,18
